bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,fcf9fd8d-2893-4b97-90dc-5efb1e854b62,1634556732100,13.4879743,52.4751725,6.5579944,1.7213026,3.6556244,-3.9798656,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,d9938d77-b268-4aff-b548-0c1cb9457a69,1634556732167,13.4879743,52.4751725,6.5579944,-2.203097,-5.124798,-2.5720959,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,afc42563-a0c5-458a-bcc7-427d2cce48b8,1634556732234,13.4879743,52.4751725,6.5579944,-0.35775316,0.13140965,-2.6638803,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,632bad3a-f3af-4896-a402-b42f5d94e8dc,1634556732300,13.4879743,52.4751725,6.5579944,-2.1231656,3.8752708,-5.530161,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,4d24b96c-7be1-49ec-b2a6-a5b73f88184e,1634556732351,13.4879743,52.4751725,6.5579944,1.2809373,-2.8456783,1.8528433,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,0818b165-7acd-4401-9506-c4df54c292f3,1634556732417,13.4879743,52.4751725,6.5579944,-0.40148315,-2.368881,3.3893251,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,d49c91d3-9788-462a-aff6-3eb14e8001a3,1634556732467,13.4879743,52.4751725,6.5579944,-3.7989182,3.7553248,0.33035946,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,294dc389-4f87-4b22-abee-2a2624a02e02,1634556732518,13.4879743,52.4751725,6.5579944,-1.3156028,-1.8653579,-2.3479471,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,5338d273-f671-4522-b516-f12d43664a81,1634556732585,13.4879743,52.4751725,6.5579944,1.4153509,-1.7875257,-2.8459358,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,f95dba63-fb8f-423b-b7c7-5f2fe776ade9,1634556732635,13.4879743,52.4751725,6.5579944,-0.5772685,1.3540206,-3.3294911,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,41c01734-0c80-4344-a0f1-03ee7ec41daf,1634556732685,13.4879743,52.4751725,6.5579944,1.2817596,-3.1248565,-4.795519,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,3f234994-347c-4d5d-ad38-57f10945536b,1634556732752,13.4879743,52.4751725,6.5579944,0.8567956,1.6435828,-3.9919946,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,0a0a5354-60e7-4f9e-8050-329211731279,1634556732802,13.4879743,52.4751725,6.5579944,-0.5838898,4.057076,-4.132757,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,40ff2825-c8c6-4435-9c04-46551f189205,1634556732852,13.4879743,52.4751725,6.5579944,-0.18680039,-3.6763768,0.22404003,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,88f6e691-2d8c-4ade-843f-71000d271b45,1634556732919,13.4879743,52.4751725,6.5579944,0.43512264,-2.6410546,0.2777605,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,9808381a-a326-4358-b273-95ba3f80fe28,1634556732985,13.4879743,52.4751725,6.5579944,-0.8955066,-0.08264732,4.3642254,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,ce747926-4f7a-4c94-9a12-e215a21da361,1634556733052,13.4879265,52.4752234,6.661277,-0.8351128,-2.1470156,1.3882303,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,29dddd97-edde-49af-be8f-4463cfefb260,1634556733118,13.4879265,52.4752234,6.661277,1.9783975,-2.3377125,0.9822521,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,3ae0ac17-2659-4fb5-a23d-3e6a8a9d4d23,1634556733186,13.4879265,52.4752234,6.661277,-0.8691249,5.3862696,-0.018119812,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,3de850bb-24c8-49f9-8f53-1007ee1af9ba,1634556733236,13.4879265,52.4752234,6.661277,-0.9024209,4.8734303,1.38023,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,610db32a-b163-4368-a036-672e4fa22b9a,1634556733303,13.4879265,52.4752234,6.661277,0.23487741,-0.650157,-2.3779016,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,b3498c68-b33e-4003-b09c-051bdba6c78e,1634556733353,13.4879265,52.4752234,6.661277,-2.5780737,2.6944742,-3.7002726,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,36bd81b9-eb68-4404-929f-1bfa49f30d4b,1634556733420,13.4879265,52.4752234,6.661277,0.3190841,3.4269435,-2.7581654,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,8c81f221-5d9b-4743-8f83-c6b7045dd1e3,1634556733470,13.4879265,52.4752234,6.661277,0.43320245,-2.6405933,1.4477205,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,e7241ca9-4076-499f-ad89-a16079798ef8,1634556733537,13.4879265,52.4752234,6.661277,-0.2258665,-0.5533608,0.37102795,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,ca1ff6b8-747d-454c-9978-d32836cdcc22,1634556733603,13.4879265,52.4752234,6.661277,-0.14083543,-0.44432306,-0.69011784,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,a8bc560a-ac50-4ef8-b00c-d3ce6c9dcd79,1634556733653,13.4879265,52.4752234,6.661277,-0.46827692,0.76662064,-6.512085,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,3aac008c-2abc-4fe7-b1d1-2ff9fdec2153,1634556733704,13.4879265,52.4752234,6.661277,-1.6613925,1.0311329,-1.2245803,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,aa4b8745-cd06-4123-b27b-523051c037d9,1634556733770,13.4879265,52.4752234,6.661277,1.3603618,-2.7289903,14.224232,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,b900ef91-eb0f-44d4-b1dd-efc5d30720c6,1634556733820,13.4879265,52.4752234,6.661277,2.5820587,4.057095,-3.7228174,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,97e436e6-de59-43aa-9e1f-d315d74d11c2,1634556733871,13.4879265,52.4752234,6.661277,-1.6160635,2.559785,-0.48701572,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,be57c47a-c516-4589-b26b-5f60dea52bca,1634556733921,13.4879265,52.4752234,6.661277,5.719318,-0.90245867,-2.160389,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,80d03d4d-c993-41e5-b96f-88e864531c16,1634556733987,13.4879265,52.4752234,6.661277,-1.5180888,-3.018167,1.074153,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,61c962a6-e7d6-4324-b998-90d99afbb9bc,1634556734037,13.4878791,52.4752755,6.5589256,2.7497222,-1.5755332,0.82171535,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,a5a16dd4-5f2a-4f22-9003-4b6cdf34987b,1634556734088,13.4878791,52.4752755,6.5589256,-0.46981728,-1.3246708,-0.46930122,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,50933c76-9bc7-42b3-9c59-f1dff570a740,1634556734138,13.4878791,52.4752755,6.5589256,-0.5443127,0.17093515,0.70412636,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,db83e834-64e5-42d2-bf96-b721a3457117,1634556734205,13.4878791,52.4752755,6.5589256,0.41947904,-1.0864098,-0.75929546,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,333e3109-3abb-445d-a35a-357b634aa678,1634556734271,13.4878791,52.4752755,6.5589256,-3.0922134,-9.025904,6.3167973,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,cb5fcade-37d5-4839-a168-f9187f452d3f,1634556734322,13.4878791,52.4752755,6.5589256,3.5473733,8.836498,-3.8194606,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,7368f115-526c-4692-92c3-fa7420421dee,1634556734372,13.4878791,52.4752755,6.5589256,1.3424183,5.0005984,-6.678555,on bike mount,cyclo cross,True,paving stones,good
dff43e55-8241-4b84-ac6e-7b65f8f255f2,28359b26-0bc7-441b-8431-c7e4318a3084,e6459c9e-06dc-48f7-afa8-d5ad9b880aec,1634556734439,13.4878791,52.4752755,6.5589256,-4.53872,11.311404,-9.711803,on bike mount,cyclo cross,True,paving stones,good
