bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,310f7a2f-45a5-4eec-b28e-45ee21117c18,1633169456582,14.3287911,52.2691926,7.8282213,-0.6623962,-0.49501896,0.40764618,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,0c052ae1-f64f-4e9e-9782-d22a9c0e5ee0,1633169456633,14.3287911,52.2691926,7.8282213,-0.18052125,-0.6194078,-3.9555857,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,ec898915-384b-445c-82e2-e2335e5a5514,1633169456699,14.3287911,52.2691926,7.8282213,0.2042861,-0.6627691,1.8244257,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,81467cc6-9fb5-4a70-86a2-5add2f6256ae,1633169456749,14.3287911,52.2691926,7.8282213,-0.67736864,2.1653614,0.69312096,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,c21a934d-e38e-48f2-af19-06badf6aba09,1633169456799,14.3287911,52.2691926,7.8282213,0.1674069,-0.02728796,0.5284767,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,86ad1935-073f-4778-86de-035cb577e457,1633169456849,14.3287911,52.2691926,7.8282213,-0.051597953,0.30662298,0.24219513,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,b0cd63c3-0a5d-4580-842e-82ef2a488ced,1633169456899,14.3287911,52.2691926,7.8282213,0.7130094,-0.97857213,-0.8442631,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,5a67eff4-15a6-4953-af6b-2c2eb9c1f410,1633169456957,14.3287911,52.2691926,7.8282213,0.6607772,-0.8833337,-1.3026271,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,a34c5b1a-8a66-4357-8c4d-1788be47157e,1633169457015,14.3289093,52.2691995,7.851647,-0.3342249,-0.43449903,-0.78948545,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,1206a581-7f05-4c11-9b9c-d9c0c3c6d755,1633169457065,14.3289093,52.2691995,7.851647,-0.28587246,0.7791729,1.1389084,on bike mount,cyclo cross,True,asphalt,excellent
f4ee5635-8bf4-4b5a-96e4-b3a42f385893,454854de-1f5a-4469-956e-8e344873fd15,e045cebf-b65a-4004-b073-5e3c75c5b9d6,1633169457116,14.3289093,52.2691995,7.851647,1.7578356,2.290386,-1.4264922,on bike mount,cyclo cross,True,asphalt,excellent
