bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,47beb423-bb6f-45c3-a19a-f55756383910,1633253452308,14.5015019,52.1407643,4.0111938,1.7216682,-1.380964,0.47728252,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,c2e5c259-9e20-4ded-a0c0-8e71f986cca8,1633253452358,14.5015019,52.1407643,4.0111938,0.632299,0.37078,-0.34834003,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,7258c402-266e-4930-b455-ba3a966b8f49,1633253452408,14.5015019,52.1407643,4.0111938,0.5297128,1.2180157,-1.4390473,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,d416bc89-0451-431b-bc0a-091e1f2f3c82,1633253452458,14.5015019,52.1407643,4.0111938,1.8910396,0.4685483,-0.25648308,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,425440e0-df05-4986-a969-c2cae970d66b,1633253452508,14.5015019,52.1407643,4.0111938,0.67289156,-1.03396,-0.08961868,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,a79de24c-2c6e-4aaa-a536-8199b19ae405,1633253452558,14.5015019,52.1407643,4.0111938,-0.087797165,-0.24947524,1.4344339,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,e8c0597e-f06c-4d4d-842b-d784b4a30c74,1633253452610,14.5015019,52.1407643,4.0111938,-0.42630368,-0.7408428,-1.1470819,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,4a70da1d-09f0-49fa-a166-b5265af6b8d4,1633253452675,14.5015019,52.1407643,4.0111938,0.09020602,-0.47790933,1.202981,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,3001aed3-db7a-4ff6-8ce4-8797b9736232,1633253452725,14.5015019,52.1407643,4.0111938,0.16224171,1.093998,-0.8844013,on bike mount,cyclo cross,False,asphalt,excellent
6829de33-aa39-48ff-a809-5a8a92c2a471,488f1501-1368-4fa4-9b7f-9c84f3f91fd7,fea7ff30-5c75-4860-872c-70c9d62a8966,1633253452775,14.5015019,52.1407643,4.0111938,0.31195346,-0.16239357,0.23814964,on bike mount,cyclo cross,False,asphalt,excellent
