bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,2d6455c5-51c4-4899-b7b3-eed57cc40fb2,1644074573619,13.4254875,52.4949924,5.5000663,-2.257689,3.224482,2.7123137,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,ec224f95-2db6-48ff-8207-6741bc4e796a,1644074573674,13.4254875,52.4949924,5.5000663,-1.7347493,4.9195905,5.909115,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,e37562ff-08df-4e10-9fb1-8c8e6077e74b,1644074573729,13.4254875,52.4949924,5.5000663,0.77021223,3.7418137,9.385511,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,bbe7a680-f66b-48e9-a2f9-389dd5a0a973,1644074573784,13.4254875,52.4949924,5.5000663,-1.6928236,-1.7620163,-2.7927427,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,d0a3f3a1-65f4-48ae-9f77-4030c0db93cc,1644074573840,13.4254875,52.4949924,5.5000663,-4.6422343,4.7347283,-5.899989,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,5cf0d4b0-e602-45cc-bb82-40f4e6e41e3c,1644074573895,13.4254875,52.4949924,5.5000663,0.42092723,3.565959,-7.963888,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,a7787f8d-100c-44a6-9828-f9085808be77,1644074573952,13.4254875,52.4949924,5.5000663,2.2591033,-6.9995775,6.5032825,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,f351af78-1fd6-4859-9b3f-1012de487e64,1644074574008,13.4254875,52.4949924,5.5000663,0.52231073,-1.2855625,-5.191684,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,1f6eeb8c-14c7-45e5-b4fb-d89e41a004b5,1644074574063,13.4254875,52.4949924,5.5000663,1.4015056,-3.2837086,-0.124955654,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,bae7da2b-0775-4d22-9fe2-31ee80264ad2,1644074574118,13.4254875,52.4949924,5.5000663,-2.7020226,-2.3411906,-4.3897123,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,597c25b3-39b8-4b65-9970-f709c585d43b,1644074574173,13.4254875,52.4949924,5.5000663,0.37248683,-2.8008046,4.5053654,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,5778aab4-b36f-478d-9ab3-be2812f75b82,1644074574229,13.4254875,52.4949924,5.5000663,-0.14527851,-4.5397377,-7.8254805,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,c4f4ce93-c501-414a-8934-0536c09abb67,1644074574284,13.4254875,52.4949924,5.5000663,2.0321412,-13.890378,15.097113,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,58e0681b-713c-4ea3-80e4-6d3867436b17,1644074574341,13.4254875,52.4949924,5.5000663,3.9391024,10.061822,-24.936111,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,0322198f-646d-4bfe-af36-43f897a71b4f,1644074574396,13.4254875,52.4949924,5.5000663,6.810393,7.076323,-5.8014956,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,baf4e4e7-841a-4145-9292-1fdd81bfb6f6,1644074574451,13.4254875,52.4949924,5.5000663,1.3416,-4.9490414,-15.832714,on bike mount,cyclo cross,True,sett,intermediate
a53076f9-fd1a-492e-a84d-be86db0e653a,ac9ff860-7ad4-4df4-a38f-a2ca96114e53,413f2350-15fb-4963-bec7-e6d48ac15c7b,1644074574509,13.4255599,52.4949611,5.4478703,0.07864642,-5.0809526,6.4993305,on bike mount,cyclo cross,True,sett,intermediate
