bike_activity_uid,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_flagged_lab_conditions,bike_activity_surface_type,bike_activity_smoothness_type
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,6e0030b5-38ce-4c6d-9471-ec127f069be3,1635688104257,13.3916585,52.4778084,6.8265715,0.967113,-2.1810372,-2.28442,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,3f45723a-4456-4c0b-8d87-10c362a24bd6,1635688104310,13.3916585,52.4778084,6.8265715,0.34987414,-0.3497467,-1.9343047,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,08815e85-cedc-410b-ab70-ca5a733ae2ed,1635688104375,13.3916585,52.4778084,6.8265715,0.29825538,-2.3644779,-3.8891068,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,b9f886b7-8d4b-47f9-9dd0-a45e20f425dd,1635688104440,13.3916585,52.4778084,6.8265715,1.386545,0.9414301,-2.6625848,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,c79be8ef-dee5-4679-a120-5fc7db6e900c,1635688104495,13.3916585,52.4778084,6.8265715,0.27654117,3.148653,-1.0090346,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,d324816d-a977-4e6d-83c9-c08ef487476c,1635688104558,13.3916585,52.4778084,6.8265715,1.639776,2.2984996,1.235177,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,0960f174-fcd1-4901-ac7e-7da9b18cab0a,1635688104609,13.3916585,52.4778084,6.8265715,1.8204478,-0.2578318,1.1170082,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,cd8fce71-a309-47f4-9098-2c33dfdca2da,1635688104662,13.3916585,52.4778084,6.8265715,0.7946591,1.3834698,4.5420494,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,6498cb5c-7ad4-44c6-8759-26291a014667,1635688104722,13.3916151,52.4777589,6.807249,-1.3780531,0.9687383,2.41988,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,fb7e8962-7d76-4440-8e78-bdd767e2be07,1635688104775,13.3916151,52.4777589,6.807249,0.73109823,-1.3603448,-0.18029404,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,37dc3d57-6f75-4b1e-ab92-e996ece066fc,1635688104826,13.3916151,52.4777589,6.807249,-0.70145947,-0.09312248,0.44276047,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,40d9f548-2743-4ac1-8280-9f5afc05456a,1635688104892,13.3916151,52.4777589,6.807249,0.36065155,-2.3215225,1.4922609,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,49cbfd0d-f5a0-4930-93b6-dfe72939f97b,1635688104942,13.3916151,52.4777589,6.807249,-0.7755767,2.2606378,-0.41458035,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,8eb65eb7-d72b-4e0d-9c85-00fe3ddc0cfb,1635688104992,13.3916151,52.4777589,6.807249,-0.13760075,-1.1157789,0.5081835,on bike mount,cyclo cross,True,concrete plates,good
ec6461f0-3771-4a48-b184-e422cc7a5c11,12c95a96-ba10-4848-b2e5-84781b4ea982,843e7ddb-cf5a-45ec-9895-eec060dba815,1635688105058,13.3916151,52.4777589,6.807249,-1.466482,0.04307866,-2.88594,on bike mount,cyclo cross,True,concrete plates,good
